"WYT","Month","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
"All","9",0.326024165730856,0.308390264179779,0.326747095241111,0.32676952472089,0.32754329761617,0.327009450893504,0.309766359099087,0.314214991289871,0.310805291154464
"All","10",0.290909475884065,0.287490746352677,0.290920343068997,0.290941538011676,0.29014569564341,0.290698279344666,0.286234789653444,0.285914941976437,0.284034956252945
"All","11",0.329359225182399,0.322869676122013,0.32981443101542,0.329386144254751,0.333354798024189,0.33161489398262,0.326047077181509,0.331928288515529,0.329810786296538
"All","12",0.379377258603444,0.38689289783643,0.381044210629241,0.382925448927151,0.379596362790191,0.378823522383864,0.38912016463437,0.384634742590772,0.3839325696372
"All","1",0.437576222873137,0.438669466555764,0.441578632962438,0.438030424272679,0.438028452944424,0.441725909573558,0.444753968508209,0.440014650370407,0.441351856477813
"All","2",0.470387760008467,0.468125478004293,0.469026348832074,0.469237254529882,0.463343360409796,0.4687856562507,0.469434669728004,0.470547492056484,0.464065399922168
"All","3",0.468508853934591,0.466426570517768,0.467271444719526,0.467781689475228,0.468599890346633,0.467596650679728,0.473230388650408,0.468363733316936,0.46980039503255
"All","4",0.364963663718719,0.370185548989164,0.371894976409994,0.368568111752466,0.37171975747276,0.377835879257905,0.387410142094907,0.369884943305021,0.373111327073994
"All","5",0.345002169954799,0.347883160107275,0.346923590594089,0.347174944478355,0.345599985820472,0.348536283639339,0.359417257958989,0.346345149674768,0.348994174553804
"C","9",0.251341872077404,0.245482750113382,0.24776217942426,0.247760348167285,0.251002949283122,0.249462996725857,0.250183794971321,0.24849135865359,0.249463775025894
"C","10",0.249590014961778,0.255131713195146,0.252552705387447,0.252524119746884,0.250212384979805,0.252881382081625,0.2410150548805,0.249195355232154,0.251277106551882
"C","11",0.251103780256635,0.247359470037621,0.25366258692906,0.252886984189099,0.256894020780591,0.252662969342084,0.243721527848892,0.253597690674745,0.257336664328283
"C","12",0.277995167676099,0.289969017397172,0.278425277644839,0.286294969870291,0.27931978958316,0.276790963352717,0.288015078909201,0.278374644323913,0.278624917451962
"C","1",0.322852987452631,0.316785596102384,0.333108703883363,0.318574470068197,0.319266691813322,0.333922082223799,0.333791531513579,0.33405115754598,0.333309258906248
"C","2",0.365860630032565,0.356915371009129,0.361341754885883,0.362230443910343,0.339936861302847,0.361664314829189,0.357084890280647,0.36273176080406,0.342958312391922
"C","3",0.345502710168734,0.342266762382618,0.341775932290429,0.341800222498754,0.347325976195558,0.343570536567018,0.348627156091532,0.343060617280094,0.350143983849456
"C","4",0.247552635314116,0.276717346067312,0.275312969851182,0.261240673909838,0.272404333736111,0.279428018337922,0.264771131909052,0.261106480824678,0.266165997054315
"C","5",0.250020219039057,0.256921120252427,0.258528687734423,0.259299364396464,0.258467840506397,0.266333032519765,0.256650181341303,0.258178073751725,0.265634116146138
"D","9",0.28462026375452,0.275905663900191,0.289756408127187,0.289771799156746,0.286411811856316,0.286634665773378,0.279429971863889,0.286186618480674,0.286355578394427
"D","10",0.282253964793055,0.273403001446965,0.283305669095511,0.283299389318053,0.283113211042598,0.282545863284442,0.269406094076257,0.272570122095696,0.271221477033073
"D","11",0.323514875897322,0.315409667272144,0.319270605146558,0.319338866386571,0.331315454929303,0.329509303478304,0.326593018925811,0.322578539573382,0.31456424015018
"D","12",0.323055895554645,0.322360600763299,0.33080226238161,0.330822846073377,0.323102017517736,0.321945161148833,0.328651441306937,0.322859701494684,0.329471796933929
"D","1",0.324274238965004,0.326981010056551,0.331145355478221,0.331184927168163,0.331156815006487,0.330153297223659,0.329849425601553,0.322924722855558,0.322959480135534
"D","2",0.342719244116195,0.343091736321693,0.341979765675026,0.341936129180197,0.340511373342702,0.340026371796662,0.350521349517619,0.347567555956649,0.339887283098126
"D","3",0.411953914535952,0.413224343763922,0.412791427660599,0.412826155139116,0.413137342428824,0.414383143198266,0.428693772988647,0.41462278724135,0.414499154826329
"D","4",0.31019723229067,0.30856865555486,0.310017872090212,0.310015529760718,0.313203172772325,0.329109476523657,0.327171813430484,0.317098931482058,0.321952322577209
"D","5",0.30773905574176,0.308100477680523,0.305902430565207,0.305899986826255,0.299949560218998,0.301149323019557,0.272285749665967,0.303013693314861,0.303033328734607
"AN","9",0.364867062361498,0.328899126350914,0.37533929673929,0.375507539994987,0.379441407723309,0.376816109497003,0.305131459415115,0.345288289563326,0.340054805072256
"AN","10",0.280175816982413,0.281621190297948,0.272486206074401,0.272686484780089,0.272607951070108,0.27200748067286,0.27042781892861,0.267126543936825,0.255805823681626
"AN","11",0.271939252217665,0.258794689207396,0.289704547113572,0.28725904092585,0.289781390578518,0.2919840260107,0.263524516584217,0.289760518441643,0.275091003141251
"AN","12",0.307831651640866,0.342547386096387,0.306214790266154,0.305282174662715,0.30619316471733,0.306133120328011,0.331251909811906,0.354084957399884,0.338475941797239
"AN","1",0.492465883359634,0.499788556134596,0.495374619999719,0.496134824952141,0.494408739784728,0.496818118821971,0.504972034834886,0.483388310511692,0.495715073652766
"AN","2",0.56576325980437,0.564777586563885,0.56525192838272,0.565222794431028,0.565255316812315,0.565369568432148,0.565295084568093,0.565211884648043,0.565490515405017
"AN","3",0.559265390503261,0.55519194725863,0.554392676699221,0.559355093885675,0.553111270381964,0.550053037319644,0.563027353703259,0.557764522851225,0.55517650398956
"AN","4",0.401814028077755,0.391600816224657,0.399432231760924,0.401338221848286,0.398816115765196,0.411461975615049,0.452241656143695,0.400667643257852,0.412358784884085
"AN","5",0.341565662847997,0.348077360202104,0.340744035565728,0.341320040515914,0.340341355485255,0.350777861789016,0.412796147286309,0.341383617663131,0.35360702393384
