"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
1980,-0.0403009134873724,0.00671681891456206,0.00671681891456206,0,0,0.0134336378291241,-0.0470177324019344,0
1981,0.0229973169796857,0.0076657723265619,0.0076657723265619,0.0076657723265619,0.0076657723265619,-0.0153315446531238,0.0076657723265619,0.0076657723265619
1982,0.175639557082856,0.0152730049637266,0.0152730049637266,0.099274532264223,0.297823596792669,0.145093547155403,0.229095074455899,0.282550591828942
1983,0.379578667678876,0.0632631112798127,0.0632631112798127,0.189789333839438,0.499778579110521,0.512431201366483,0.436515467830708,0.480799645726577
1984,0.254000508001016,0.063500127000254,0.063500127000254,0.107950215900432,0.190500381000762,0.476250952501905,0.247650495300991,0.222250444500889
1985,0.075352788053158,0.027401013837512,0.027401013837512,0.013700506918756,-0.027401013837512,0.424715714481436,0.06850253459378,-0.020550760378134
1986,0.00777665448324131,0,0,-0.0388832724162065,0.0388832724162065,0.451045960027996,-0.0311066179329652,-0.0466599268994479
1987,0.209863588667366,0.293809024134313,0.293809024134313,0.244840853445261,0.482686253934942,0.972367960825464,-0.167890870933893,-0.0489681706890521
1988,0.137909898866074,0.444376340790683,0.444376340790683,0.454591888854837,0.735519460619062,1.3893145367249,-0.153233220962305,0.127694350801921
1989,-0.31261997477102,0.296166291888334,0.296166291888334,0.383919267262656,0.68008555915099,1.20111885043602,-0.0438764876871606,0.394888389184446
1990,-0.206794682422452,0.103397341211226,0.110782865583456,0.413589364844904,0.494830132939439,0.672082717872969,0.214180206794682,0.886262924667651
1991,0.400772919201317,0.329206326486796,0.322049667215344,0.694195949330852,0.751449223502469,1.69612824733414,0.586846060259071,1.44564517283332
1992,0.680851063829787,1.17184942716858,0.824877250409165,1.19803600654664,1.44026186579378,2.98527004909984,0.785597381342062,1.51882160392799
1993,1.05053770124946,1.82756262820911,0.926213712935911,1.42350966619009,1.53540125567228,2.31242618263194,0.665133337477466,0.988375707092684
1994,0.587518013524,0.969958984591509,0.415696707682075,0.410154084912981,0.415696707682075,0.925618002438754,0.254960647378339,0.216162287994679
1995,-0.0888152051631239,0.0118420273550832,0.0828941914855823,-0.313813724909705,-0.284208656521997,0.627627449819409,-0.0651311504529575,-0.106578246195749
1996,-0.22359238430788,-0.0813063215665018,0.0677552679720848,-0.216816857510671,-0.0948573751609188,0.75885900128735,-0.121959482349753,-0.00677552679720848
1997,0.104879664385074,0.0386398763523957,0.0220799293442261,-0.0165599470081696,0.0441598586884522,0.734157650695518,0.0386398763523957,0.11039964672113
1998,0.15459933006957,-0.015459933006957,0,-0.020613244009276,-0.0360731770162329,0.731770162329297,0.0979129090440608,0.15459933006957
1999,-0.0167252048837598,0.0167252048837598,0.0167252048837598,0.027875341472933,0.0167252048837598,0.618832580699114,0.105926297597146,0.139376707364665
